Model,Screen Size,Chip,Battery (Video Hours),Frame Material,Water Resistance,ProMotion,Dynamic Island,Action Button,Camera Control,Always-On Display,Neural Engine,GPU,Front Camera,Colors Available
iPhone 17 Pro,6.3″,A19 Pro,33,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core + Neural Acc.,TrueDepth,"Cosmic Orange, Deep Blue, Silver"
iPhone 17 Pro Max,6.9″,A19 Pro,39,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core + Neural Acc.,TrueDepth,"Cosmic Orange, Deep Blue, Silver"
iPhone Air,6.5″,A19 Pro,27,Aluminum unibody,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core + Neural Acc.,TrueDepth,"Sky Blue, Light Gold, Cloud White, Space Black, Lavender, Sage"
iPhone 17,6.3″,A19,30,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core + Neural Acc.,TrueDepth,"Mist Blue, White, Black, Soft Pink"
iPhone 17e,6.1″,A19,26,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,4-core + Neural Acc.,TrueDepth,"Soft Pink, White, Black"
iPhone 16 Pro,6.3″,A18 Pro,27,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core,TrueDepth,"Desert Titanium, Natural Titanium, White Titanium, Black Titanium"
iPhone 16 Pro Max,6.9″,A18 Pro,33,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core,TrueDepth,"Desert Titanium, Natural Titanium, White Titanium, Black Titanium"
iPhone 16,6.1″,A18,22,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core,TrueDepth,"Ultramarine, Teal, Pink, White, Black"
iPhone 16 Plus,6.7″,A18,27,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core,TrueDepth,"Ultramarine, Teal, Pink, White, Black"
iPhone 16e,6.1″,A18,26,Aluminum,6m / 30min,Yes,Yes,Yes,No,No,16-core,4-core,TrueDepth,"White, Black"
iPhone 15 Pro,6.1″,A17 Pro,23,Titanium,6m / 30min,Yes,Yes,Yes,No,Yes,16-core,6-core,TrueDepth,"Natural Titanium, Blue Titanium, White Titanium, Black Titanium"
iPhone 15 Pro Max,6.7″,A17 Pro,29,Titanium,6m / 30min,Yes,Yes,Yes,No,Yes,16-core,6-core,TrueDepth,"Natural Titanium, Blue Titanium, White Titanium, Black Titanium"
iPhone 15,6.1″,A16 Bionic,20,Aluminum,6m / 30min,No,Yes,No,No,No,16-core,5-core,TrueDepth,"Pink, Yellow, Green, Blue, Black"
iPhone 15 Plus,6.7″,A16 Bionic,26,Aluminum,6m / 30min,No,Yes,No,No,No,16-core,5-core,TrueDepth,"Pink, Yellow, Green, Blue, Black"
iPhone 14 Pro,6.1″,A16 Bionic,23,Stainless steel,6m / 30min,Yes,Yes,No,No,Yes,16-core,5-core,TrueDepth,"Deep Purple, Gold, Silver, Space Black"
iPhone 14 Pro Max,6.7″,A16 Bionic,29,Stainless steel,6m / 30min,Yes,Yes,No,No,Yes,16-core,5-core,TrueDepth,"Deep Purple, Gold, Silver, Space Black"
iPhone 14,6.1″,A15 Bionic,20,Aluminum,6m / 30min,No,No,No,No,No,16-core,5-core,TrueDepth,"Blue, Purple, Yellow, Midnight, Starlight, Product Red"
iPhone 14 Plus,6.7″,A15 Bionic,26,Aluminum,6m / 30min,No,No,No,No,No,16-core,5-core,TrueDepth,"Blue, Purple, Yellow, Midnight, Starlight, Product Red"
iPhone 13 Pro,6.1″,A15 Bionic,22,Stainless steel,6m / 30min,Yes,No,No,No,No,16-core,5-core,TrueDepth,"Alpine Green, Silver, Gold, Graphite, Sierra Blue"
iPhone 13 Pro Max,6.7″,A15 Bionic,28,Stainless steel,6m / 30min,Yes,No,No,No,No,16-core,5-core,TrueDepth,"Alpine Green, Silver, Gold, Graphite, Sierra Blue"
iPhone 13 mini,5.4″,A15 Bionic,17,Aluminum,6m / 30min,No,No,No,No,No,16-core,4-core,TrueDepth,"Green, Pink, Blue, Midnight, Starlight, Product Red"
iPhone 13,6.1″,A15 Bionic,19,Aluminum,6m / 30min,No,No,No,No,No,16-core,4-core,TrueDepth,"Green, Pink, Blue, Midnight, Starlight, Product Red"
iPhone SE (3rd generation),4.7″,A15 Bionic,15,Aluminum,1m / 30min,No,No,No,No,No,16-core,4-core,FaceTime HD 7MP,"Midnight, Starlight, Product Red"
iPhone 12 Pro,6.1″,A14 Bionic,17,Stainless steel,6m / 30min,No,No,No,No,No,16-core,4-core,TrueDepth,"Pacific Blue, Gold, Graphite, Silver"
iPhone 12 Pro Max,6.7″,A14 Bionic,20,Stainless steel,6m / 30min,No,No,No,No,No,16-core,4-core,TrueDepth,"Pacific Blue, Gold, Graphite, Silver"
iPhone 12 mini,5.4″,A14 Bionic,15,Aluminum,6m / 30min,No,No,No,No,No,16-core,4-core,TrueDepth,"Purple, Blue, Green, Product Red, White, Black"
iPhone 12,6.1″,A14 Bionic,17,Aluminum,6m / 30min,No,No,No,No,No,16-core,4-core,TrueDepth,"Purple, Blue, Green, Product Red, White, Black"
iPhone 11 Pro,5.8″,A13 Bionic,18,Stainless steel,4m / 30min,No,No,No,No,No,8-core,4-core,TrueDepth 12MP,"Midnight Green, Silver, Space Gray, Gold"
iPhone 11 Pro Max,6.5″,A13 Bionic,20,Stainless steel,4m / 30min,No,No,No,No,No,8-core,4-core,TrueDepth 12MP,"Midnight Green, Silver, Space Gray, Gold"
iPhone 11,6.1″,A13 Bionic,17,Aluminum,2m / 30min,No,No,No,No,No,8-core,4-core,TrueDepth 12MP,"Purple, Yellow, Green, Black, White, Product Red"
iPhone SE (2nd generation),4.7″,A13 Bionic,13,Aluminum,1m / 30min,No,No,No,No,No,8-core,4-core,FaceTime HD 7MP,"Black, White, Product Red"
iPhone XS,5.8″,A12 Bionic,14,Stainless steel,2m / 30min,No,No,No,No,No,8-core,4-core,TrueDepth,"Silver, Space Gray, Gold"
iPhone XS Max,6.5″,A12 Bionic,15,Stainless steel,2m / 30min,No,No,No,No,No,8-core,4-core,TrueDepth,"Silver, Space Gray, Gold"
iPhone XR,6.1″,A12 Bionic,16,Aluminum,1m / 30min,No,No,No,No,No,8-core,4-core,TrueDepth,"Blue, White, Black, Yellow, Coral, Product Red"
iPhone X,5.8″,A11 Bionic,13,Stainless steel,1m / 30min,No,No,No,No,No,2-core,3-core,TrueDepth,"Silver, Space Gray"
iPhone 8 Plus,5.5″,A11 Bionic,14,Aluminum,1m / 30min,No,No,No,No,No,2-core,3-core,FaceTime HD 7MP,"Silver, Space Gray, Gold, Rose Gold"
iPhone 8,4.7″,A11 Bionic,13,Aluminum,1m / 30min,No,No,No,No,No,2-core,3-core,FaceTime HD 7MP,"Silver, Space Gray, Gold, Rose Gold"
iPhone 7 Plus,5.5″,A10 Fusion,14,Aluminum,1m / 30min,No,No,No,No,No,—,3-core,FaceTime HD 7MP,"Black, Silver, Gold, Rose Gold, Jet Black, Product Red"
iPhone 7,4.7″,A10 Fusion,13,Aluminum,1m / 30min,No,No,No,No,No,—,3-core,FaceTime HD 7MP,"Black, Silver, Gold, Rose Gold, Jet Black, Product Red"
